Country,Happiness Score,Region,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"GINI of household income reported in Gallup, by wp5-year"
Finland,7.769,Western Europe,2019,7.768734137,10.61176968,0.9599739709999999,71.80000051,0.949459513,-0.05601954,0.21355906100000002,0.788669527,0.179948295,0.54612269,1.28818971,1.987619459,0.39424329
Denmark,7.6,Western Europe,2019,7.600090186,10.74764188,0.954923491,72.10000102,0.946361562,0.100717746,0.180549458,0.8270685870000001,0.206470514,0.557497491,1.197521925,1.883773506,0.538284113
Norway,7.553999999999999,Western Europe,2019,7.539779504,11.0779384,0.958610813,73.09999847,0.955932717,0.136029432,0.30919298,0.842046658,0.20801278899999998,0.68476965,1.427382648,1.981766463,0.33814050700000003
Iceland,7.494,Western Europe,2019,7.49477307,10.71508535,0.97732536,73.0,0.943625987,0.27349807800000003,0.69493558,0.8727210959999999,0.161944538,0.38526278700000005,1.358529369,1.5693149569999998,0.35489122100000003
Netherlands,7.4879999999999995,Western Europe,2019,7.48764658,10.7871933,0.9339629009999999,72.19999949,0.91587164,0.211066783,0.388998558,0.850864629,0.201388255,0.632789334,1.23458451,1.901756704,0.442329129
Switzerland,7.48,Western Europe,2019,7.480233352000001,10.96403217,0.935860217,73.80000051,0.928452849,0.118214587,0.30633546899999997,0.7818979420000001,0.197902788,0.8227409720000001,1.40050751,1.96419996,0.375778506
Sweden,7.343,Western Europe,2019,7.343447049,10.75747617,0.9189190070000001,72.5,0.9314477240000001,0.123839329,0.249448647,0.817306201,0.178809722,0.513216506,1.283844113,1.943751037,0.38449429399999996
New Zealand,7.307,North America and ANZ,2019,7.3077189129999995,10.4933939,0.9484620890000001,73.0,0.939385215,0.222528666,0.23557949600000003,0.831912855,0.18236055,0.607055624,1.5503860719999998,2.017334223,0.41828280700000003
Canada,7.278,North America and ANZ,2019,7.278403599999999,10.68935808,0.926953415,73.39999898,0.934450607,0.15206835400000002,0.37295520299999996,0.837009509,0.238267228,0.627132714,1.323624849,1.8522132040000001,0.557745834
Austria,7.246,Western Europe,2019,7.245933851,10.72280375,0.91473484,72.69999949,0.894218842,0.086942243,0.521668454,0.751940568,0.201250454,0.452408294,1.156488716,1.569175124,0.304913441
Australia,7.228,North America and ANZ,2019,7.22803704,10.71023337,0.944143117,73.30000051,0.916298012,0.22545370000000003,0.40484638,0.7766553359999999,0.216301044,0.458325197,1.169768632,1.7475124,0.459689756
Costa Rica,7.167000000000001,Latin America and Caribbean,2019,7.167291323,9.649451574,0.899423619,71.10000102,0.916826248,-0.06904780099999999,0.768071532,0.8726926840000001,0.29424299800000003,0.38881793600000003,0.8523191509999999,0.448586062,0.586328894
Israel,7.138999999999999,Middle East and North Africa,2019,7.139075279,10.40920448,0.90523235,73.10000102,0.7550119759999999,0.115277416,0.78894788,0.655423443,0.27386531199999997,0.41661035,-0.047690882999999996,1.177892685,0.271177351
Luxembourg,7.09,Western Europe,2019,7.090450923,11.45624351,0.916296164,72.59999847,0.889705638,0.009387641,0.357218673,0.758025368,0.192887351,0.7243669229999999,1.4442361000000001,1.796194434,0.310198774
United Kingdom,7.053999999999999,Western Europe,2019,7.053667387000001,10.58887037,0.9400157929999999,72.10000102,0.823811273,0.25162877100000003,0.42706688200000004,0.772532265,0.222478271,0.42320426299999997,0.812514663,1.700574816,0.390878936
